ID_DATE,DATE_SNAPSHOT,NUMERO_SEMAINE,NOM_MOIS,ANNEE,NUM_TRIMESTRE,INTITULE_TRIMESTRE,NB_JOURS_FERIES,FLAG_ANNEE_BISSEXTILE
50,19/02/2010,7,February ,2010,1,T1,0,N
51,20/02/2010,7,February ,2010,1,T1,0,N
52,21/02/2010,7,February ,2010,1,T1,0,N
53,22/02/2010,8,February ,2010,1,T1,0,N
54,23/02/2010,8,February ,2010,1,T1,0,N
55,24/02/2010,8,February ,2010,1,T1,0,N
56,25/02/2010,8,February ,2010,1,T1,0,N
57,26/02/2010,8,February ,2010,1,T1,0,N
58,27/02/2010,8,February ,2010,1,T1,0,N
59,28/02/2010,8,February ,2010,1,T1,0,N
60,01/03/2010,9,March    ,2010,1,T1,0,N
61,02/03/2010,9,March    ,2010,1,T1,0,N
62,03/03/2010,9,March    ,2010,1,T1,0,N
63,04/03/2010,9,March    ,2010,1,T1,0,N
64,05/03/2010,9,March    ,2010,1,T1,0,N
65,06/03/2010,9,March    ,2010,1,T1,0,N
66,07/03/2010,9,March    ,2010,1,T1,0,N
67,08/03/2010,10,March    ,2010,1,T1,0,N
68,09/03/2010,10,March    ,2010,1,T1,0,N
69,10/03/2010,10,March    ,2010,1,T1,0,N
70,11/03/2010,10,March    ,2010,1,T1,0,N
71,12/03/2010,10,March    ,2010,1,T1,0,N
72,13/03/2010,10,March    ,2010,1,T1,0,N
73,14/03/2010,10,March    ,2010,1,T1,0,N
74,15/03/2010,11,March    ,2010,1,T1,0,N
75,16/03/2010,11,March    ,2010,1,T1,0,N
76,17/03/2010,11,March    ,2010,1,T1,0,N
77,18/03/2010,11,March    ,2010,1,T1,0,N
78,19/03/2010,11,March    ,2010,1,T1,0,N
79,20/03/2010,11,March    ,2010,1,T1,0,N
80,21/03/2010,11,March    ,2010,1,T1,0,N
81,22/03/2010,12,March    ,2010,1,T1,0,N
82,23/03/2010,12,March    ,2010,1,T1,0,N
83,24/03/2010,12,March    ,2010,1,T1,0,N
84,25/03/2010,12,March    ,2010,1,T1,0,N
85,26/03/2010,12,March    ,2010,1,T1,0,N
86,27/03/2010,12,March    ,2010,1,T1,0,N
87,28/03/2010,12,March    ,2010,1,T1,0,N
88,29/03/2010,13,March    ,2010,1,T1,0,N
89,30/03/2010,13,March    ,2010,1,T1,0,N
90,31/03/2010,13,March    ,2010,1,T1,0,N
91,01/04/2010,13,April    ,2010,2,T2,0,N
92,02/04/2010,13,April    ,2010,2,T2,0,N
93,03/04/2010,13,April    ,2010,2,T2,0,N
94,04/04/2010,13,April    ,2010,2,T2,0,N
95,05/04/2010,14,April    ,2010,2,T2,0,N
96,06/04/2010,14,April    ,2010,2,T2,0,N
97,07/04/2010,14,April    ,2010,2,T2,0,N
98,08/04/2010,14,April    ,2010,2,T2,0,N
99,09/04/2010,14,April    ,2010,2,T2,0,N
100,10/04/2010,14,April    ,2010,2,T2,1,N
101,11/04/2010,14,April    ,2010,2,T2,0,N
102,12/04/2010,15,April    ,2010,2,T2,0,N
103,13/04/2010,15,April    ,2010,2,T2,0,N
104,14/04/2010,15,April    ,2010,2,T2,0,N
105,15/04/2010,15,April    ,2010,2,T2,0,N
106,16/04/2010,15,April    ,2010,2,T2,0,N
107,17/04/2010,15,April    ,2010,2,T2,0,N
108,18/04/2010,15,April    ,2010,2,T2,0,N
109,19/04/2010,16,April    ,2010,2,T2,0,N
110,20/04/2010,16,April    ,2010,2,T2,0,N
111,21/04/2010,16,April    ,2010,2,T2,0,N
112,22/04/2010,16,April    ,2010,2,T2,0,N
113,23/04/2010,16,April    ,2010,2,T2,0,N
114,24/04/2010,16,April    ,2010,2,T2,0,N
115,25/04/2010,16,April    ,2010,2,T2,0,N
116,26/04/2010,17,April    ,2010,2,T2,0,N
117,27/04/2010,17,April    ,2010,2,T2,0,N
118,28/04/2010,17,April    ,2010,2,T2,0,N
119,29/04/2010,17,April    ,2010,2,T2,0,N
